Data;NivelMaximo_m;NivelMinimo_m;NivelUltimo_m;VazaoUltimo_m3s;Fonte
2024-01-01;2.237;2.163;2.163;287;ANA (backfill manual)
2024-01-02;2.160;2.114;2.115;272;ANA (backfill manual)
2024-01-03;2.114;2.087;2.087;265;ANA (backfill manual)
2024-01-04;2.084;2.057;2.057;256;ANA (backfill manual)
2024-01-05;2.055;2.023;2.023;246;ANA (backfill manual)
2024-01-06;2.021;1.987;1.987;239;ANA (backfill manual)
2024-01-07;1.984;1.950;1.950;229;ANA (backfill manual)
2024-01-08;1.948;1.915;1.915;221;ANA (backfill manual)
2024-01-09;1.965;1.882;1.965;230;ANA (backfill manual)
2024-01-10;1.969;1.879;1.879;209;ANA (backfill manual)
2024-01-11;1.877;1.855;1.861;203;ANA (backfill manual)
2024-01-12;1.899;1.865;1.899;216;ANA (backfill manual)
2024-01-13;1.986;1.900;1.986;242;ANA (backfill manual)
2024-01-14;2.055;1.988;2.055;265;ANA (backfill manual)
2024-01-15;2.075;2.055;2.072;266;ANA (backfill manual)
2024-01-16;2.072;2.060;2.068;264;ANA (backfill manual)
2024-01-17;2.238;2.071;2.238;316;ANA (backfill manual)
2024-01-18;2.388;2.232;2.388;320;ANA (backfill manual)
2024-01-19;2.593;2.411;2.556;411;ANA (backfill manual)
2024-01-20;2.548;2.443;2.459;380;ANA (backfill manual)
2024-01-21;2.469;2.456;2.469;386;ANA (backfill manual)
2024-01-22;2.552;2.470;2.552;412;ANA (backfill manual)
2024-01-23;2.614;2.555;2.614;433;ANA (backfill manual)
2024-01-24;2.659;2.615;2.659;453;ANA (backfill manual)
2024-01-25;2.716;2.660;2.716;473;ANA (backfill manual)
2024-01-26;2.817;2.721;2.817;507;ANA (backfill manual)
2024-01-27;2.850;2.819;2.850;516;ANA (backfill manual)
2024-01-28;2.850;2.834;2.836;512;ANA (backfill manual)
2024-01-29;2.835;2.786;2.786;496;ANA (backfill manual)
2024-01-30;2.784;2.735;2.735;482;ANA (backfill manual)
2024-01-31;2.730;2.619;2.619;446;ANA (backfill manual)
2024-02-01;2.614;2.545;2.545;416;ANA (backfill manual)
2024-02-02;2.542;2.484;2.484;395;ANA (backfill manual)
2024-02-03;2.480;2.398;2.398;363;ANA (backfill manual)
2024-02-04;2.397;2.307;2.307;336;ANA (backfill manual)
2024-02-05;2.306;2.235;2.235;313;ANA (backfill manual)
2024-02-06;2.234;2.190;2.193;295;ANA (backfill manual)
2024-02-07;2.188;2.136;2.136;278;ANA (backfill manual)
2024-02-08;2.133;2.103;2.103;267;ANA (backfill manual)
2024-02-09;2.101;2.084;2.085;265;ANA (backfill manual)
2024-02-10;2.086;2.078;2.078;262;ANA (backfill manual)
2024-02-11;2.077;2.046;2.046;254;ANA (backfill manual)
